Timestamp,Output power %,Current Temperature,Target Temperature
2026-05-23T08:31:18.561Z,0,,
2026-05-23T08:31:18.561Z,0,24.34000015258789,0
2026-05-23T08:31:18.561Z,0,24.34000015258789,0
2026-05-23T08:31:18.561Z,0,24.34000015258789,0
2026-05-23T08:31:18.639Z,0,24.34000015258789,0
2026-05-23T08:31:18.639Z,0,24.34000015258789,0
2026-05-23T08:31:18.639Z,0,24.34000015258789,0
2026-05-23T08:31:18.639Z,0,24.34000015258789,0
2026-05-23T08:31:18.644Z,0,24.34000015258789,0
2026-05-23T08:31:18.644Z,0,24.34000015258789,0
2026-05-23T08:31:18.644Z,0,24.34000015258789,0
2026-05-23T08:31:18.644Z,0,24.34000015258789,0
2026-05-23T08:31:18.649Z,0,24.34000015258789,0
2026-05-23T08:31:18.649Z,0,24.34000015258789,0
2026-05-23T08:31:18.649Z,0,24.34000015258789,0
2026-05-23T08:31:18.649Z,0,24.34000015258789,0
2026-05-23T08:31:20.971Z,0,24.34000015258789,0
2026-05-23T08:31:21.575Z,0,24.34000015258789,0
2026-05-23T08:31:21.641Z,0,24.34000015258789,0
2026-05-23T08:31:21.707Z,0,24.34000015258789,0
2026-05-23T08:31:21.773Z,0,24.34000015258789,0
2026-05-23T08:31:21.839Z,0,24.34000015258789,0
2026-05-23T08:31:21.904Z,0,24.34000015258789,0
2026-05-23T08:31:21.970Z,0,24.34000015258789,0
2026-05-23T08:31:22.036Z,0,24.34000015258789,0
2026-05-23T08:31:22.102Z,0,24.34000015258789,0
2026-05-23T08:31:22.168Z,0,24.34000015258789,0
2026-05-23T08:31:22.234Z,0,24.34000015258789,0
2026-05-23T08:31:22.300Z,0,24.34000015258789,0
2026-05-23T08:31:22.367Z,0,24.34000015258789,0
2026-05-23T08:31:22.433Z,0,24.34000015258789,0
2026-05-23T08:31:22.497Z,0,24.34000015258789,0
2026-05-23T08:31:22.563Z,0,24.34000015258789,0
2026-05-23T08:31:22.629Z,0,24.34000015258789,0
2026-05-23T08:31:22.695Z,0,24.34000015258789,0
2026-05-23T08:31:22.761Z,0,24.34000015258789,0
2026-05-23T08:31:22.827Z,0,24.34000015258789,0
2026-05-23T08:31:22.892Z,0,24.34000015258789,0
2026-05-23T08:31:22.958Z,0,24.34000015258789,0
2026-05-23T08:31:23.024Z,0,24.34000015258789,0
2026-05-23T08:31:23.090Z,0,24.34000015258789,0
2026-05-23T08:31:23.156Z,0,24.34000015258789,0
2026-05-23T08:31:23.222Z,0,24.34000015258789,0
2026-05-23T08:31:23.288Z,0,24.34000015258789,0
2026-05-23T08:31:23.354Z,0,24.34000015258789,0
2026-05-23T08:31:23.419Z,0,24.34000015258789,0
2026-05-23T08:31:23.485Z,0,24.34000015258789,0
2026-05-23T08:31:23.551Z,0,24.34000015258789,0
2026-05-23T08:31:23.617Z,0,24.34000015258789,0
2026-05-23T08:31:23.685Z,0,24.34000015258789,0
2026-05-23T08:31:23.750Z,0,24.34000015258789,0
2026-05-23T08:31:23.817Z,0,24.34000015258789,0
2026-05-23T08:31:23.880Z,0,24.34000015258789,0
2026-05-23T08:31:23.946Z,0,24.34000015258789,0
2026-05-23T08:31:24.012Z,0,24.34000015258789,0
2026-05-23T08:31:24.078Z,0,24.34000015258789,0
2026-05-23T08:31:24.144Z,0,24.34000015258789,0
2026-05-23T08:31:24.210Z,0,24.34000015258789,0
2026-05-23T08:31:24.275Z,0,24.34000015258789,0
2026-05-23T08:31:24.342Z,0,24.34000015258789,0
2026-05-23T08:31:24.407Z,0,24.34000015258789,0
2026-05-23T08:31:24.473Z,0,24.34000015258789,0
2026-05-23T08:31:24.539Z,0,24.34000015258789,0
2026-05-23T08:31:24.605Z,0,24.34000015258789,0
2026-05-23T08:31:24.671Z,0,24.34000015258789,0
2026-05-23T08:31:24.737Z,0,24.34000015258789,0
2026-05-23T08:31:24.803Z,0,24.34000015258789,0
2026-05-23T08:31:24.868Z,0,24.34000015258789,0
